Date,Open,High,Low,Close
5/2/2008,141.07,142.60,140.56,141.34
5/5/2008,141.00,141.61,140.41,140.71
5/6/2008,140.85,142.20,139.69,141.84
5/7/2008,141.60,142.13,139.13,139.28
5/8/2008,139.87,140.32,138.98,139.84
5/9/2008,138.70,139.58,138.32,138.93
5/12/2008,139.41,140.53,138.73,140.47
5/13/2008,140.10,141.11,139.73,140.40
5/14/2008,140.72,142.20,139.99,140.96
5/15/2008,141.12,142.63,140.83,142.55
5/16/2008,142.53,143.03,141.61,142.65
5/19/2008,142.60,144.30,142.30,142.83
5/20/2008,142.67,142.75,141.00,141.64
5/21/2008,142.14,142.26,139.00,139.30
5/22/2008,140.04,140.17,139.00,139.56
5/23/2008,138.93,139.20,137.57,137.87
5/27/2008,137.69,139.00,137.32,138.74
5/28/2008,138.89,140.00,138.00,139.37
5/29/2008,139.72,140.93,138.97,140.03
5/30/2008,139.96,140.74,139.96,140.11
6/2/2008,139.71,140.35,138.00,138.83
6/3/2008,138.80,139.62,137.23,138.05
6/4/2008,137.86,139.16,137.45,138.04
6/5/2008,138.53,140.83,138.21,140.64
6/6/2008,141.09,141.40,136.34,136.38
6/9/2008,136.81,137.50,135.41,136.63
6/10/2008,135.72,137.10,135.18,136.14
6/11/2008,136.33,136.66,133.93,133.96
6/12/2008,134.67,135.87,133.52,134.44
6/13/2008,134.21,136.42,134.10,136.40
6/16/2008,136.29,136.93,135.38,136.44
6/17/2008,136.61,137.38,135.45,135.50
6/18/2008,135.44,135.74,133.71,134.33
6/19/2008,133.96,135.24,133.50,134.72
6/20/2008,133.44,133.71,131.22,131.59
6/23/2008,132.11,132.47,131.32,131.63
6/24/2008,131.58,132.44,130.19,131.24
6/25/2008,131.84,133.40,131.24,132.00
6/26/2008,131.40,131.49,128.17,128.21
6/27/2008,128.37,128.86,127.03,127.80
6/30/2008,127.93,128.91,127.30,127.84
7/1/2008,127.80,128.46,125.93,128.37
7/2/2008,128.67,129.28,126.04,126.07
7/3/2008,126.52,127.22,124.99,126.38
7/7/2008,126.41,127.34,123.92,125.09
7/8/2008,123.86,127.39,123.60,127.29
7/9/2008,126.80,127.75,124.39,124.45
7/10/2008,124.83,125.80,123.58,125.38
7/11/2008,124.99,126.00,122.49,124.02
7/14/2008,125.11,125.92,122.40,122.82
7/15/2008,121.89,123.49,120.02,121.45
7/16/2008,121.40,124.57,120.25,124.47
7/17/2008,124.02,126.26,123.73,125.91
